neighbourhood,period,number_of_reviews_ltm_median,number_of_reviews_ltm_median_abs_deviation,host_total_listings_count_median,host_total_listings_count_median_abs_deviation,room_type_mode,room_type_shannon_entropy,accommodates_median,accommodates_median_abs_deviation,price_median,price_median_abs_deviation,number_of_reviews_median,number_of_reviews_median_abs_deviation,review_scores_rating_median,review_scores_rating_median_abs_deviation,review_scores_accuracy_median,review_scores_accuracy_median_abs_deviation,review_scores_cleanliness_median,review_scores_cleanliness_median_abs_deviation,review_scores_checkin_median,review_scores_checkin_median_abs_deviation,review_scores_communication_median,review_scores_communication_median_abs_deviation,review_scores_location_median,review_scores_location_median_abs_deviation,review_scores_value_median,review_scores_value_median_abs_deviation,reviews_per_month_median,reviews_per_month_median_abs_deviation,place,latitude_median,latitude_median_abs_deviation,longitude_median,longitude_median_abs_deviation
CASCINA TRIULZA - EXPO,Early Spring,1.0,0.0,1.0,0.0,Entire home/apt,-0.0,4.0,0.0,109.0,0.0,1.0,0.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,Milano,45.5229,0.0,9.0963,0.0
CASCINA TRIULZA - EXPO,Early Summer,4.0,0.0,1.0,0.0,Entire home/apt,-0.0,4.0,0.0,120.0,0.0,4.0,0.0,4.5,0.0,4.25,0.0,4.75,0.0,4.75,0.0,5.0,0.0,4.0,0.0,4.0,0.0,1.21,0.0,Milano,45.5229,0.0,9.0963,0.0
CENTRALE,Early Spring,12.0,11.0,6.0,5.0,Entire home/apt,0.5917,3.0,1.0,104.0,26.0,25.5,22.5,4.78,0.17,4.85,0.13,4.82,0.16,4.87,0.13,4.9,0.1,4.8,0.125,4.7,0.18,1.58,1.25,Milano,45.4871,0.0036,9.2048,0.0025
CENTRALE,Early Summer,10.0,9.0,6.0,5.0,Entire home/apt,0.5952,4.0,1.0,109.0,26.0,22.0,19.0,4.8,0.18,4.86,0.14,4.84,0.16,4.88,0.12,4.9,0.1,4.81,0.13,4.71,0.18,1.62,1.275,Milano,45.4872,0.0037,9.2051,0.0024
CENTRALE,Early Winter,9.0,9.0,4.0,3.0,Entire home/apt,0.6657,3.0,1.0,102.0,25.0,24.0,22.0,4.77,0.18,4.85,0.14,4.82,0.18,4.88,0.12,4.91,0.09,4.8,0.13,4.69,0.18,1.45,1.18,Milano,45.4873,0.0038,9.2049,0.0024
CHIARAVALLE,Early Spring,4.0,0.0,3.0,0.0,Entire home/apt,-0.0,3.0,0.0,65.0,0.0,4.0,0.0,5.0,0.0,5.0,0.0,4.75,0.0,5.0,0.0,5.0,0.0,4.75,0.0,5.0,0.0,0.39,0.0,Milano,45.4173,0.0,9.2388,0.0
CHIARAVALLE,Early Summer,7.5,2.5,2.0,1.0,Entire home/apt,1.0,2.5,0.5,58.0,7.0,8.0,3.0,4.7,0.3,4.7,0.1,4.45,0.25,4.8,0.2,5.0,0.0,4.9,0.1,4.85,0.05,2.92,2.08,Milano,45.4172,0.0001,9.2394,0.0005
CHIARAVALLE,Early Winter,0.0,0.0,3.0,0.0,Entire home/apt,-0.0,2.0,0.0,87.0,2.0,2.0,0.0,5.0,0.0,5.0,0.0,4.5,0.5,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.13,0.11,Milano,45.4148,0.0001,9.2405,0.0006
CITTA' STUDI,Early Spring,5.0,4.0,2.0,1.0,Entire home/apt,0.6752,3.0,1.0,90.0,23.0,12.0,10.0,4.86,0.14,4.89,0.11,4.86,0.14,4.92,0.08,4.97,0.03,4.76,0.14,4.69,0.19,0.77,0.58,Milano,45.4797,0.0057,9.2305,0.0029
CITTA' STUDI,Early Summer,4.0,4.0,2.0,1.0,Entire home/apt,0.6283,3.0,1.0,90.0,20.0,11.0,9.0,4.86,0.14,4.89,0.11,4.85,0.15,4.94,0.06,4.96,0.04,4.77,0.14,4.69,0.2,0.82,0.63,Milano,45.4785,0.006,9.2308,0.0031
CITTA' STUDI,Early Winter,3.0,3.0,2.0,1.0,Entire home/apt,0.7862,2.0,1.0,90.0,18.0,9.0,8.0,4.86,0.14,4.9,0.1,4.86,0.14,4.94,0.06,4.98,0.02,4.76,0.17,4.71,0.21,0.64,0.53,Milano,45.4797,0.0055,9.2309,0.0029
COMASINA,Early Spring,5.0,5.0,2.0,1.0,Entire home/apt,0.9984,2.0,1.0,78.0,25.0,22.0,18.0,4.93,0.07,4.91,0.09,4.94,0.06,4.94,0.06,4.97,0.03,4.75,0.17,4.81,0.16,1.32,0.68,Milano,45.5271,0.0018,9.1621,0.0017
COMASINA,Early Summer,4.5,4.5,2.0,1.0,Entire home/apt,0.994,2.0,0.5,81.5,15.5,25.5,21.5,4.945,0.055,4.935,0.065,4.92,0.08,4.94,0.06,4.98,0.02,4.765,0.235,4.81,0.18,1.135,0.71,Milano,45.5272,0.0014,9.162,0.0015
COMASINA,Early Winter,7.0,7.0,2.0,1.0,Entire home/apt,0.9923,2.0,0.0,79.5,24.5,20.0,16.0,4.86,0.12,4.94,0.06,4.94,0.06,4.94,0.06,4.97,0.03,4.76,0.18,4.77,0.13,1.42,1.2,Milano,45.5263,0.0022,9.1624,0.0009
CORSICA,Early Spring,5.5,5.5,2.0,1.0,Entire home/apt,0.5436,3.0,1.0,89.0,23.0,13.0,10.0,4.85,0.15,4.89,0.11,4.88,0.12,4.925,0.075,4.94,0.06,4.7,0.185,4.71,0.195,0.73,0.58,Milano,45.4644,0.0017,9.2304,0.0022
CORSICA,Early Summer,5.0,4.5,2.0,1.0,Entire home/apt,0.5917,3.0,1.0,89.0,21.0,11.5,9.5,4.86,0.14,4.895,0.105,4.89,0.11,4.915,0.085,4.96,0.04,4.71,0.19,4.72,0.18,0.755,0.585,Milano,45.4642,0.0017,9.2301,0.0023
CORSICA,Early Winter,4.0,4.0,2.0,1.0,Entire home/apt,0.7614,3.0,1.0,89.0,21.5,10.0,8.0,4.855,0.145,4.915,0.085,4.875,0.125,4.925,0.075,4.96,0.04,4.685,0.185,4.715,0.215,0.67,0.55,Milano,45.4645,0.0017,9.2301,0.002
Ca' Emiliani,Early Autumn,15.5,13.0,2.0,0.5,Private room,-0.0,3.0,1.0,55.0,0.0,48.0,17.0,4.145,0.28,4.225,0.18,4.345,0.135,4.385,0.265,4.105,0.21,3.88,0.325,4.1,0.295,1.28,0.67,Venezia,45.4602,0.0009,12.2172,0.0013
Ca' Emiliani,Early Spring,2.0,0.0,2.0,0.0,Private room,0.7219,4.0,2.0,55.0,0.0,10.0,8.0,4.0,0.3,4.1,0.17,4.29,0.19,4.53,0.39,4.18,0.32,4.02,0.52,4.0,0.31,0.91,0.47,Venezia,45.4602,0.0008,12.2181,0.0026
Ca' Emiliani,Early Summer,4.0,1.0,2.0,1.0,Private room,0.7219,4.0,2.0,55.0,0.0,25.0,14.0,4.25,0.38,4.25,0.07,4.31,0.06,4.54,0.42,4.21,0.29,4.06,0.61,4.25,0.41,0.89,0.47,Venezia,45.4602,0.0008,12.2181,0.0026
Ca' Emiliani,Early Winter,2.0,1.0,2.0,0.0,Private room,0.7219,4.0,2.0,53.0,2.0,9.0,8.0,4.36,0.64,4.24,0.38,4.22,0.12,4.53,0.42,4.17,0.5,4.0,0.48,4.24,0.76,1.0,0.53,Venezia,45.4602,0.0008,12.2181,0.0026
Ca' Sabbioni,Early Autumn,0.0,0.0,1.0,0.0,Entire home/apt,-0.0,6.0,0.0,100.0,0.0,25.0,0.0,5.0,0.0,4.96,0.0,4.96,0.0,5.0,0.0,4.96,0.0,4.88,0.0,4.96,0.0,0.39,0.0,Venezia,45.4576,0.0,12.186,0.0
Ca' Sabbioni,Early Spring,0.0,0.0,1.0,0.0,Entire home/apt,-0.0,6.0,0.0,100.0,0.0,25.0,0.0,5.0,0.0,4.96,0.0,4.96,0.0,5.0,0.0,4.96,0.0,4.88,0.0,4.96,0.0,0.43,0.0,Venezia,45.4576,0.0,12.186,0.0
Ca' Sabbioni,Early Summer,0.0,0.0,1.0,0.0,Entire home/apt,-0.0,6.0,0.0,100.0,0.0,25.0,0.0,5.0,0.0,4.96,0.0,4.96,0.0,5.0,0.0,4.96,0.0,4.88,0.0,4.96,0.0,0.41,0.0,Venezia,45.4576,0.0,12.186,0.0
Ca' Sabbioni,Early Winter,0.0,0.0,1.0,0.0,Entire home/apt,-0.0,6.0,0.0,100.0,0.0,25.0,0.0,5.0,0.0,4.96,0.0,4.96,0.0,5.0,0.0,4.96,0.0,4.88,0.0,4.96,0.0,0.46,0.0,Venezia,45.4576,0.0,12.186,0.0
Campalto,Early Autumn,12.5,12.0,9.0,7.0,Entire home/apt,1.0,2.5,0.5,116.0,22.0,28.0,26.5,4.735,0.165,4.915,0.085,4.835,0.125,4.96,0.04,4.955,0.045,4.745,0.225,4.725,0.215,1.45,1.285,Venezia,45.4869,0.0006,12.2958,0.0006
Campalto,Early Spring,8.0,8.0,3.0,2.0,Private room,0.9911,2.0,0.0,95.5,25.0,18.0,15.5,4.775,0.145,4.915,0.085,4.79,0.105,4.945,0.055,4.91,0.075,4.745,0.17,4.77,0.195,1.04,0.875,Venezia,45.4867,0.0006,12.2957,0.0008
Campalto,Early Summer,18.5,11.5,2.5,1.5,Entire home/apt,0.9887,2.5,0.5,108.0,24.0,23.5,16.0,4.71,0.16,4.82,0.145,4.755,0.115,4.89,0.11,4.925,0.075,4.735,0.19,4.72,0.2,1.91,1.38,Venezia,45.4866,0.0008,12.2959,0.0008
Campalto,Early Winter,7.5,7.0,3.0,2.0,Private room,0.9911,2.0,0.0,95.5,37.5,15.0,12.5,4.78,0.125,4.905,0.095,4.775,0.12,4.95,0.05,4.895,0.085,4.745,0.17,4.755,0.19,1.275,1.02,Venezia,45.4867,0.0006,12.2957,0.0008
Campalto Bagaron,Early Autumn,10.0,5.0,5.0,0.0,Entire home/apt,0.9183,2.5,0.5,89.5,1.0,70.5,27.5,4.895,0.05,4.915,0.03,4.95,0.035,4.935,0.025,4.875,0.06,4.82,0.04,4.86,0.065,1.505,0.81,Venezia,45.4844,0.0004,12.2894,0.0011
Campalto Bagaron,Early Spring,19.0,9.5,4.0,0.0,Entire home/apt,0.9183,2.5,0.5,75.0,0.5,66.5,44.5,4.9,0.06,4.915,0.05,4.955,0.03,4.935,0.015,4.87,0.07,4.82,0.04,4.865,0.07,1.62,0.66,Venezia,45.4844,0.0004,12.2894,0.0011
Campalto Bagaron,Early Summer,17.0,12.0,4.0,0.0,Entire home/apt,0.9183,2.5,0.5,104.5,23.0,69.5,34.5,4.905,0.045,4.915,0.035,4.96,0.025,4.935,0.025,4.87,0.085,4.83,0.03,4.87,0.065,1.56,0.68,Venezia,45.4844,0.0004,12.2894,0.0011
Campalto Bagaron,Early Winter,16.5,8.0,4.0,0.0,Entire home/apt,0.9183,2.5,0.5,73.0,4.0,65.5,46.5,4.9,0.06,4.915,0.055,4.955,0.03,4.94,0.015,4.87,0.075,4.815,0.04,4.865,0.06,1.7,0.665,Venezia,45.4844,0.0004,12.2894,0.0011
Campalto CEP,Early Autumn,8.0,6.0,7.0,0.0,Private room,0.7219,2.0,0.0,61.0,1.0,8.0,6.0,4.51,0.26,4.55,0.17,4.69,0.31,4.75,0.12,4.68,0.18,4.47,0.09,4.39,0.34,2.96,1.81,Venezia,45.4793,0.0,12.2895,0.0
Campalto CEP,Early Spring,1.0,0.0,2.0,1.0,Entire home/apt,0.9183,7.0,0.0,83.0,18.0,8.0,7.0,4.51,0.49,4.6,0.4,4.7,0.3,4.73,0.27,4.0,0.37,4.0,0.12,3.25,0.25,0.42,0.3,Venezia,45.4806,0.0003,12.2882,0.0029
Campalto CEP,Early Summer,22.5,21.5,1.5,0.5,Entire home/apt,1.0,4.5,2.5,112.5,47.5,56.5,55.5,4.755,0.245,4.8,0.2,4.85,0.15,4.855,0.145,4.34,0.34,4.275,0.275,3.715,0.715,2.115,1.925,Venezia,45.4805,0.0002,12.2867,0.0015
Campalto CEP,Early Winter,30.5,29.5,8.5,7.5,Entire home/apt,-0.0,7.0,0.0,124.0,36.0,55.0,47.0,3.885,0.635,3.925,0.675,3.97,0.72,4.49,0.24,4.15,0.52,4.215,0.335,3.845,0.595,2.405,2.275,Venezia,45.481,0.0007,12.2906,0.0053
Campalto Gobbi,Early Autumn,20.0,16.0,10.0,9.0,Entire home/apt,-0.0,5.0,1.0,95.0,20.0,62.0,17.0,4.75,0.12,4.66,0.16,4.65,0.26,4.58,0.08,4.75,0.12,4.75,0.11,4.55,0.05,3.24,1.02,Venezia,45.4919,0.0001,12.293,0.0
Campalto Gobbi,Early Spring,28.0,4.0,9.0,8.0,Entire home/apt,-0.0,4.0,0.0,71.0,1.0,33.0,15.0,4.83,0.11,4.67,0.04,4.83,0.11,4.67,0.17,4.83,0.11,4.56,0.06,4.83,0.02,2.19,0.44,Venezia,45.4945,0.0005,12.2902,0.0028
Campalto Gobbi,Early Summer,27.0,11.0,10.0,9.0,Entire home/apt,-0.0,4.0,0.0,73.0,1.0,57.0,1.0,4.81,0.1,4.69,0.05,4.75,0.13,4.69,0.14,4.88,0.05,4.59,0.21,4.63,0.11,2.33,0.72,Venezia,45.4945,0.0005,12.2902,0.0028
Campalto Gobbi,Early Winter,28.0,2.0,7.0,6.0,Entire home/apt,-0.0,4.0,0.0,80.0,0.0,30.0,18.0,4.75,0.17,4.75,0.12,4.93,0.07,4.5,0.0,4.75,0.18,4.56,0.21,4.83,0.17,2.54,0.6,Venezia,45.4945,0.0005,12.2902,0.0028
Campo di Marte,Early Spring,10.0,9.0,2.0,1.0,Entire home/apt,0.9425,3.0,1.0,99.0,29.0,24.0,20.0,4.86,0.13,4.89,0.11,4.89,0.11,4.93,0.07,4.94,0.06,4.7,0.14,4.77,0.13,1.0,0.71,Firenze,43.7787,0.0068,11.2756,0.0057
Campo di Marte,Early Summer,9.0,8.0,2.0,1.0,Entire home/apt,0.9343,3.0,1.0,106.0,31.0,24.0,20.0,4.86,0.14,4.89,0.11,4.89,0.11,4.93,0.07,4.945,0.055,4.71,0.15,4.76,0.135,1.24,0.9,Firenze,43.7784,0.0067,11.2754,0.0054
Campo di Marte,Early Winter,8.0,8.0,2.0,1.0,Entire home/apt,0.9698,3.0,1.0,99.0,26.0,23.0,19.0,4.85,0.13,4.89,0.11,4.89,0.11,4.93,0.07,4.94,0.06,4.69,0.14,4.76,0.13,1.0,0.75,Firenze,43.779,0.0069,11.2754,0.0055
Cannaregio,Early Autumn,15.0,14.0,4.0,3.0,Entire home/apt,0.8003,4.0,1.0,173.0,40.0,58.0,53.0,4.8,0.13,4.86,0.1,4.85,0.12,4.88,0.1,4.89,0.1,4.91,0.06,4.71,0.14,1.64,1.14,Venezia,45.4431,0.0018,12.332,0.0054
Cannaregio,Early Spring,15.0,14.0,4.0,3.0,Entire home/apt,0.7947,4.0,1.0,144.0,32.0,56.0,50.0,4.8,0.13,4.86,0.1,4.85,0.12,4.88,0.09,4.89,0.09,4.91,0.06,4.72,0.14,1.58,1.135,Venezia,45.4431,0.0017,12.3316,0.0054
Cannaregio,Early Summer,15.0,14.0,4.0,3.0,Entire home/apt,0.7774,4.0,1.0,165.0,37.0,56.0,50.0,4.81,0.13,4.86,0.1,4.85,0.12,4.88,0.09,4.89,0.09,4.91,0.06,4.71,0.14,1.69,1.18,Venezia,45.4431,0.0018,12.3316,0.0054
Cannaregio,Early Winter,16.0,15.0,4.0,3.0,Entire home/apt,0.8041,4.0,1.0,130.0,36.0,55.5,50.5,4.8,0.13,4.86,0.1,4.84,0.12,4.88,0.09,4.88,0.1,4.91,0.06,4.71,0.14,1.68,1.2,Venezia,45.4432,0.0017,12.3315,0.0053
Carpenedo,Early Autumn,14.0,13.0,2.0,1.0,Entire home/apt,0.7328,4.0,1.0,87.0,13.0,35.0,33.0,4.83,0.12,4.87,0.1,4.9,0.1,4.91,0.09,4.95,0.05,4.75,0.11,4.8,0.11,1.92,1.48,Venezia,45.5036,0.0015,12.2558,0.0064
Carpenedo,Early Spring,15.0,15.0,2.0,1.0,Entire home/apt,0.7025,4.0,1.0,85.0,15.0,41.0,39.0,4.83,0.13,4.89,0.08,4.91,0.09,4.91,0.08,4.94,0.06,4.75,0.09,4.8,0.11,1.34,0.92,Venezia,45.5037,0.0017,12.2547,0.0045
Carpenedo,Early Summer,14.5,14.5,2.0,1.0,Entire home/apt,0.6723,4.0,1.0,86.5,11.5,41.5,38.5,4.835,0.115,4.885,0.085,4.91,0.09,4.915,0.08,4.95,0.05,4.755,0.095,4.79,0.105,1.545,1.135,Venezia,45.5035,0.0017,12.2546,0.0049
Carpenedo,Early Winter,15.5,15.5,2.0,1.0,Entire home/apt,0.7409,4.0,1.0,80.0,16.5,42.5,38.5,4.83,0.12,4.89,0.08,4.905,0.08,4.9,0.075,4.93,0.055,4.72,0.085,4.775,0.105,1.465,1.01,Venezia,45.5035,0.0016,12.2548,0.0055
Case Dosa,Early Autumn,10.0,0.0,3.0,0.0,Entire home/apt,-0.0,2.0,0.0,100.0,0.0,333.0,0.0,4.7,0.0,4.79,0.0,4.82,0.0,4.92,0.0,4.84,0.0,4.49,0.0,4.72,0.0,4.42,0.0,Venezia,45.4979,0.0,12.1964,0.0
Case Dosa,Early Spring,7.0,0.0,4.0,0.0,Entire home/apt,-0.0,2.0,0.0,110.0,0.0,325.0,0.0,4.69,0.0,4.79,0.0,4.82,0.0,4.92,0.0,4.84,0.0,4.49,0.0,4.72,0.0,4.68,0.0,Venezia,45.4979,0.0,12.1964,0.0
Case Dosa,Early Summer,6.0,0.0,4.0,0.0,Entire home/apt,-0.0,2.0,0.0,110.0,0.0,327.0,0.0,4.69,0.0,4.79,0.0,4.82,0.0,4.92,0.0,4.84,0.0,4.49,0.0,4.72,0.0,4.52,0.0,Venezia,45.4979,0.0,12.1964,0.0
Case Dosa,Early Winter,7.0,0.0,4.0,0.0,Entire home/apt,-0.0,2.0,0.0,53.0,0.0,324.0,0.0,4.69,0.0,4.79,0.0,4.81,0.0,4.92,0.0,4.84,0.0,4.49,0.0,4.72,0.0,4.88,0.0,Venezia,45.4979,0.0,12.1964,0.0
Castello,Early Autumn,10.0,9.0,4.0,3.0,Entire home/apt,0.585,4.0,1.0,189.0,50.0,43.0,39.0,4.81,0.14,4.86,0.11,4.85,0.12,4.89,0.09,4.9,0.1,4.92,0.07,4.7,0.14,1.19,0.9,Venezia,45.4355,0.0018,12.3469,0.0049
Castello,Early Spring,11.0,10.0,4.0,3.0,Entire home/apt,0.6217,4.0,1.0,150.0,39.5,46.0,40.0,4.81,0.14,4.86,0.11,4.86,0.12,4.88,0.1,4.9,0.1,4.92,0.06,4.71,0.14,1.045,0.805,Venezia,45.4356,0.0018,12.3467,0.0047
Castello,Early Summer,9.0,9.0,5.0,4.0,Entire home/apt,0.6128,4.0,1.0,176.0,44.0,44.0,39.0,4.82,0.14,4.86,0.11,4.85,0.12,4.89,0.1,4.9,0.1,4.92,0.07,4.7,0.14,1.15,0.87,Venezia,45.4355,0.0018,12.3468,0.0047
Castello,Early Winter,11.0,10.0,5.0,4.0,Entire home/apt,0.6469,4.0,1.0,135.5,39.5,45.0,39.0,4.8,0.14,4.85,0.11,4.85,0.12,4.88,0.1,4.89,0.1,4.92,0.065,4.7,0.14,1.105,0.845,Venezia,45.4356,0.0018,12.3467,0.0047
Centro Storico,Early Spring,16.0,14.0,5.0,4.0,Entire home/apt,0.614,4.0,1.0,144.0,47.0,40.0,35.0,4.81,0.14,4.87,0.11,4.86,0.12,4.9,0.1,4.92,0.08,4.93,0.07,4.76,0.14,1.47,1.04,Firenze,43.7717,0.0035,11.254,0.0058
Centro Storico,Early Summer,15.0,13.0,5.0,4.0,Entire home/apt,0.6002,4.0,1.0,162.0,52.0,38.0,33.0,4.81,0.14,4.87,0.11,4.86,0.12,4.9,0.1,4.92,0.08,4.93,0.07,4.75,0.15,1.57,1.12,Firenze,43.7718,0.0036,11.254,0.0059
Centro Storico,Early Winter,13.0,12.0,5.0,4.0,Entire home/apt,0.6681,4.0,1.0,128.0,42.0,35.0,31.0,4.8,0.15,4.86,0.12,4.85,0.13,4.9,0.1,4.92,0.08,4.93,0.07,4.75,0.15,1.39,1.06,Firenze,43.7718,0.0036,11.2539,0.0058
Chiaia,Early Spring,5.0,5.0,2.0,1.0,Entire home/apt,0.7752,4.0,1.0,99.0,29.0,11.0,10.0,4.85,0.15,4.88,0.12,4.855,0.145,4.93,0.07,4.97,0.03,4.87,0.13,4.76,0.19,0.77,0.57,Napoli,40.8358,0.0018,14.2322,0.0079
Chiaia,Early Summer,5.0,4.0,2.0,1.0,Entire home/apt,0.7915,4.0,1.0,100.0,23.0,10.0,9.0,4.84,0.16,4.88,0.12,4.85,0.15,4.93,0.07,4.97,0.03,4.88,0.12,4.76,0.19,0.81,0.63,Napoli,40.8357,0.0018,14.2323,0.0079
Chiaia,Early Winter,5.0,5.0,2.0,1.0,Entire home/apt,0.8337,4.0,1.0,100.0,30.0,10.0,9.0,4.84,0.16,4.87,0.13,4.84,0.16,4.93,0.07,4.96,0.04,4.87,0.13,4.76,0.2,0.79,0.6,Napoli,40.8356,0.0019,14.2325,0.0077
Chiaiano,Early Spring,1.0,1.0,4.0,3.0,Entire home/apt,0.994,4.0,0.0,70.0,17.0,5.0,2.0,4.8,0.2,4.8,0.2,4.8,0.2,4.88,0.12,5.0,0.0,4.5,0.28,4.75,0.15,0.35,0.3,Napoli,40.8723,0.0081,14.2192,0.0023
Chiaiano,Early Summer,2.5,2.5,1.5,0.5,Entire home/apt,0.9799,4.0,0.0,70.0,11.5,5.5,2.5,4.845,0.155,4.82,0.18,4.895,0.105,4.885,0.115,4.985,0.015,4.53,0.145,4.73,0.16,0.445,0.4,Napoli,40.8789,0.0118,14.2187,0.0037
Chiaiano,Early Winter,1.5,1.5,2.5,1.5,Entire home/apt,1.325,3.5,0.5,65.0,27.0,3.5,2.5,4.84,0.16,4.815,0.185,4.98,0.02,4.96,0.04,5.0,0.0,4.5,0.23,4.765,0.175,0.505,0.45,Napoli,40.8692,0.0051,14.2192,0.0037
Chirignago,Early Autumn,7.0,7.0,2.0,1.0,Entire home/apt,0.5907,4.0,1.0,100.0,10.0,48.0,31.0,4.87,0.12,4.88,0.11,4.93,0.07,4.87,0.1,4.91,0.08,4.65,0.13,4.75,0.14,2.16,1.38,Venezia,45.4839,0.0012,12.1979,0.0063
Chirignago,Early Spring,10.0,10.0,2.0,1.0,Entire home/apt,0.3534,4.0,1.0,100.0,18.0,50.0,31.0,4.88,0.12,4.92,0.06,4.93,0.07,4.92,0.08,4.86,0.06,4.67,0.13,4.85,0.12,1.11,0.87,Venezia,45.4837,0.001,12.1979,0.0072
Chirignago,Early Summer,9.0,9.0,2.0,1.0,Entire home/apt,0.3534,4.0,1.0,100.0,4.0,54.0,32.0,4.83,0.12,4.86,0.08,4.91,0.08,4.87,0.06,4.86,0.05,4.65,0.12,4.73,0.15,2.0,1.2,Venezia,45.4838,0.0012,12.2021,0.0037
Chirignago,Early Winter,8.0,8.0,2.0,1.0,Entire home/apt,0.6402,4.0,1.0,92.0,17.0,49.0,33.0,4.9,0.1,4.94,0.06,4.94,0.06,4.94,0.06,4.9,0.08,4.67,0.13,4.88,0.12,0.86,0.77,Venezia,45.4837,0.0007,12.1923,0.0056
Cipressina,Early Autumn,12.0,12.0,1.0,0.0,Entire home/apt,0.8631,4.0,1.0,100.0,39.0,68.0,41.0,4.92,0.06,4.93,0.06,4.96,0.04,4.85,0.09,4.92,0.08,4.7,0.05,4.89,0.05,1.88,1.28,Venezia,45.4999,0.0018,12.2289,0.0007
Cipressina,Early Spring,9.0,8.0,1.0,0.0,Entire home/apt,0.7642,4.0,1.0,100.0,23.0,9.0,8.0,4.92,0.08,4.93,0.07,4.97,0.03,4.9,0.1,4.76,0.24,4.51,0.19,4.84,0.16,0.98,0.71,Venezia,45.4999,0.0016,12.2289,0.0014
Cipressina,Early Summer,11.0,8.0,1.0,0.0,Entire home/apt,0.7642,4.0,1.0,100.0,40.0,18.0,16.0,4.92,0.08,4.93,0.07,4.96,0.04,4.83,0.11,4.89,0.11,4.67,0.06,4.89,0.11,0.95,0.74,Venezia,45.4999,0.0016,12.2289,0.0014
Cipressina,Early Winter,10.0,7.0,1.0,0.0,Entire home/apt,0.8113,4.0,1.5,85.0,20.5,10.0,7.5,4.89,0.11,4.795,0.19,4.975,0.025,4.965,0.035,4.835,0.165,4.585,0.2,4.755,0.205,1.225,1.035,Venezia,45.5007,0.0016,12.2285,0.0015
DE ANGELI - MONTE ROSA,Early Spring,8.0,7.0,4.0,3.0,Entire home/apt,0.3604,4.0,1.0,105.0,24.0,15.0,12.0,4.84,0.16,4.87,0.13,4.85,0.15,4.93,0.07,4.95,0.05,4.86,0.14,4.67,0.2,1.11,0.81,Milano,45.4731,0.0045,9.1483,0.0024
DE ANGELI - MONTE ROSA,Early Summer,7.0,6.0,3.0,2.0,Entire home/apt,0.3735,4.0,1.0,109.0,29.0,13.0,11.0,4.85,0.15,4.88,0.12,4.87,0.13,4.93,0.07,4.95,0.05,4.85,0.15,4.67,0.18,1.12,0.82,Milano,45.4736,0.0046,9.1484,0.0025
DE ANGELI - MONTE ROSA,Early Winter,5.0,5.0,3.0,2.0,Entire home/apt,0.4555,3.0,1.0,106.0,26.0,12.0,10.0,4.85,0.15,4.89,0.11,4.86,0.14,4.94,0.06,4.96,0.04,4.88,0.12,4.67,0.21,0.96,0.78,Milano,45.4734,0.0047,9.1483,0.0023
DERGANO,Early Spring,3.5,3.5,2.0,1.0,Entire home/apt,0.6331,3.0,1.0,85.0,17.5,9.0,8.0,4.89,0.11,4.92,0.08,4.9,0.1,4.94,0.06,4.98,0.02,4.645,0.22,4.77,0.23,0.65,0.485,Milano,45.5015,0.0024,9.1781,0.0034
DERGANO,Early Summer,3.0,3.0,2.0,1.0,Entire home/apt,0.5599,3.0,1.0,85.0,17.5,8.0,6.0,4.9,0.1,4.91,0.09,4.905,0.095,4.93,0.07,5.0,0.0,4.64,0.235,4.75,0.25,0.775,0.555,Milano,45.5015,0.0024,9.1784,0.0034
DERGANO,Early Winter,2.0,2.0,2.0,1.0,Entire home/apt,0.7847,2.0,1.0,85.0,16.0,9.0,7.0,4.88,0.12,4.9,0.1,4.88,0.12,4.94,0.06,4.97,0.03,4.63,0.21,4.7,0.22,0.56,0.47,Milano,45.5014,0.0024,9.178,0.0035
DUOMO,Early Spring,7.0,6.0,20.0,19.0,Entire home/apt,0.3906,4.0,2.0,180.0,55.0,19.0,17.0,4.78,0.2,4.83,0.16,4.83,0.17,4.86,0.14,4.88,0.12,4.96,0.04,4.67,0.2,1.1,0.86,Milano,45.4622,0.0022,9.1871,0.0052
DUOMO,Early Summer,7.0,7.0,20.0,19.0,Entire home/apt,0.4135,4.0,2.0,182.0,57.0,19.5,17.5,4.77,0.19,4.83,0.16,4.83,0.17,4.84,0.16,4.88,0.12,4.96,0.04,4.67,0.19,1.15,0.91,Milano,45.4623,0.0022,9.187,0.0053
DUOMO,Early Winter,7.0,7.0,15.0,14.0,Entire home/apt,0.4202,4.0,1.5,166.0,48.0,20.0,18.0,4.75,0.21,4.82,0.16,4.825,0.175,4.85,0.15,4.87,0.13,4.96,0.04,4.65,0.21,1.05,0.86,Milano,45.4621,0.0022,9.1867,0.0052
Dese,Early Spring,1.0,0.0,7.0,0.0,Private room,-0.0,16.0,0.0,160.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,5.0,0.0,0.13,0.0,Venezia,45.5312,0.0,12.3049,0.0
