neighbourhood_group,neighbourhood,city
Isole,Santa Croce,venezia
Isole,Santa Maria del Mare,venezia
Isole,Sant'Elena,venezia
Isole,Sant'Erasmo,venezia
Isole,Torcello,venezia
Isole,Tronchetto,venezia
Isole,Vignole,venezia
Terraferma,Aeroporto,venezia
Terraferma,Altobello,venezia
Terraferma,Asseggiano,venezia
Terraferma,Bissuola,venezia
Terraferma,Borgoforte,venezia
Terraferma,Borgo Pezzana,venezia
Terraferma,Ca' Brentelle,venezia
Terraferma,Ca' Emiliani,venezia
Terraferma,Campalto,venezia
Terraferma,Campalto Bagaron,venezia
Terraferma,Campalto CEP,venezia
Terraferma,Campalto Cimitero,venezia
Terraferma,Campalto Gobbi,venezia
Terraferma,Capitello,venezia
Terraferma,Carpenedo,venezia
Terraferma,Ca' Sabbioni,venezia
Terraferma,Case Dosa,venezia
Terraferma,Ca' Solaro,venezia
Terraferma,Centro Commerciale Auchan,venezia
Terraferma,Centro Commerciale Panorama,venezia
Terraferma,Chirignago,venezia
Terraferma,Cipressina,venezia
Terraferma,Dese,venezia
Terraferma,Favaro,venezia
Terraferma,Favaro Cimitero,venezia
Terraferma,Favaro Col San Martino,venezia
Terraferma,Ferrarese,venezia
Terraferma,Gatta - Bondu?,venezia
Terraferma,Gazzera,venezia
Terraferma,Giustizia,venezia
Terraferma,La Favorita,venezia
Terraferma,Macello,venezia
Terraferma,Maguolo,venezia
Terraferma,Malcontenta,venezia
Terraferma,Marghera,venezia
Terraferma,Marghera Catene,venezia
Terraferma,Marghera Zona Industriale,venezia
Terraferma,Marocco Terraglio,venezia
Terraferma,Marocco Zelarino,venezia
Terraferma,Molino Ronchin,venezia
Terraferma,Piave 1860,venezia
Terraferma,Pra' Secco,venezia
Terraferma,Quartiere Pertini,venezia
Terraferma,San Lorenzo XXV Aprile,venezia
Terraferma,Santa Barbara,venezia
Terraferma,Sardi (M.5 - Q11),venezia
Terraferma,Sardi (M.5 - Q.12),venezia
Terraferma,Scaramuzza,venezia
Terraferma,Taru',venezia
Terraferma,Tessera,venezia
Terraferma,Torre Antica,venezia
Terraferma,Trivignano,venezia
Terraferma,Villabona,venezia
Terraferma,Villaggio San Marco,venezia
Terraferma,Villaggio Sartori,venezia
Terraferma,Zelarino,venezia
Terraferma,Zona Commerciale via Torino,venezia
